"","gene"
"711","Foxn3"
"712","Dap"
"713","March6"
"714","Poldip2"
"715","Hoxa13"
"716","Abcb1a"
"717","Phex"
"718","Fbxw8"
"719","Nov"
"720","Rnf115"
"721","Cenph"
"722","Cdca5"
"723","Ncapg2"
"724","Asprv1"
"725","Ppp6c"
"726","Ctsj"
"727","Tas2r121"
"728","Pim1"
"729","Pim2"
"730","Cela3b"
"731","Exo1"
"732","Nsmce4a"
"733","H2afy"
"734","Ern2"
"735","Zfp346"
"736","Cntrl"
"737","C1s1"
"738","Try10"
"739","Rad9b"
"740","Aifm1"
"741","C1ra"
"742","Racgap1"
"743","Senp6"
"744","Pja1"
"745","Pef1"
"746","Prkaca"
"747","Slc9a3r1"
"748","Prkca"
"749","Gipc1"
"750","Tpsg1"
"751","Prkce"
"752","Gper1"
"753","Zw10"
"754","Prkcq"
"755","Cts3"
"756","Pkd1"
"757","Pkd2"
"758","Pkia"
"759","Ube2f"
"760","Brinp3"
"761","Tceb1"
"762","Cul1"
"763","Cltc"
"764","Ncaph"
"765","Spo11"
"766","Rps27l"
"767","Pds5b"
"768","Plat"
"769","Plau"
"770","E430025E21Rik"
"771","Nusap1"
"772","Nifk"
"773","Rcc2"
"774","Cdca2"
"775","Setd8"
"776","Pop5"
"777","Adamts12"
"778","Rnf6"
"779","Mepce"
"780","Mapre3"
"781","Plg"
"782","Plk1"
"783","Ccny"
"784","Adamts3"
"785","Hormad1"
"786","Usp30"
"787","Rab11fip3"
"788","Opn1mw"
"789","Nacc2"
"790","Ube3b"
"791","Ube3c"
"792","E2f8"
"793","Hfm1"
"794","Pml"
"795","Pmp22"
"796","Pms2"
"797","Zwilch"
"798","Mmp25"
"799","Gm10696"
"800","Lats1"
"801","2810417H13Rik"
"802","Papd5"
"803","Tpr"
"804","Rnf146"
"805","Trabd2b"
"806","Taok3"
"807","Znrf2"
"808","Hectd1"
"809","Aen"
"810","Sun2"
"811","Nutf2"
"812","Mdc1"
"813","Hp"
"814","Eif2ak4"
"815","Klhl25"
"816","3010026O09Rik"
"817","Fzd3"
"818","Pdcd2l"
"819","Uba7"
"820","Fsd1"
"821","Rchy1"
"822","Cdc34"
"823","Sept5"
"824","Sept4"
"825","Cntd1"
"826","Pcnp"
"827","Sdccag3"
"828","Pole"
"829","Pim3"
"830","Morc3"
"831","Pcsk9"
"832","Ino80"
"833","Pou4f1"
"834","Uhrf2"
"835","Asph"
"836","Spire1"
"837","Pparg"
"838","Dbf4"
"839","Azi2"
"840","Ppp2r1a"
"841","Chaf1a"
"842","Trp53bp1"
"843","Bok"
"844","Adamts20"
"845","Rpl24"
"846","Ccnc"
"847","Ppp1cb"
"848","Ube2q2"
"849","Ppp2ca"
"850","Ppp2r3d"
"851","Ppp3ca"
"852","Nup88"
"853","Senp1"
"854","Prep"
"855","Mcmbp"
"856","Zmat1"
"857","Rpa3"
"858","Prkdc"
"859","Babam1"
"860","Fam64a"
"861","Rif1"
"862","Prss23"
"863","Fbxo31"
"864","Tubgcp4"
"865","Casc5"
"866","Cdc73"
"867","Rpa1"
"868","Clgn"
"869","Wtap"
"870","Prox1"
"871","Rnf24"
"872","Adamts19"
"873","Lgmn"
"874","Prss12"
"875","St14"
"876","Klk6"
"877","Ncapd2"
"878","Bcor"
"879","Prtn3"
"880","Clasp2"
"881","Prr5"
"882","Nbn"
"883","Rnf165"
"884","Adgb"
"885","Psen2"
"886","Psma2"
"887","Psma3"
"888","Add3"
"889","Malt1"
"890","Psmb10"
"891","Psmb4"
"892","Psmb5"
"893","Cetn1"
"894","Psmb6"
"895","Knstrn"
"896","Psmb7"
"897","Thsd4"
"898","Cyp26b1"
"899","Tjp3"
"900","Yme1l1"
"901","Psme1"
"902","Psme2"
"903","Marf1"
"904","Psme3"
"905","Magel2"
"906","Mmel1"
"907","Wdr37"
"908","Pstpip1"
"909","Ptch1"
"910","Spidr"
"911","Skp2"
"912","Pten"
"913","Tmem129"
"914","Nudc"
"915","Prss8"
"916","Rnf20"
"917","Pkn2"
"918","Klhl22"
"919","Ptgs2"
"920","Ciz1"
"921","Mib2"
"922","Ipo11"
"923","Ptp4a1"
"924","Ptpn11"
"925","Dusp1"
"926","Pibf1"
"927","Ptprc"
"928","Sae1"
"929","Ptprk"
"930","Steap3"
"931","Fbxl15"
"932","Hepacam2"
"933","Asb10"
"934","Pura"
"935","Atg4a"
"936","Pak2"
"937","Rmnd5a"
"938","Rnf43"
"939","Peli3"
"940","Arel1"
"941","Kif20a"
"942","Nsmce2"
"943","Rad1"
"944","Rad17"
"945","Ctrc"
"946","Rad50"
"947","Clasp1"
"948","Rad51d"
"949","Mir489"
"950","Eml1"
"951","Dzip3"
"952","Rag1"
"953","C1rl"
"954","Psma4"
"955","Fign"
"956","Nrip2"
"957","Ranbp2"
"958","Rangap1"
"959","Camk1"
"960","Sgol2a"
"961","Rara"
"962","Donson"
"963","Ddb1"
"964","Stox1"
"965","Cgref1"
"966","Htra4"
"967","Anapc4"
"968","Mir124a-3"
"969","Sri"
"970","Zfp365"
"971","Mzt1"
"972","Mir26a-2"
"973","Rbm24"
"974","Rnf213"
"975","Kif20b"
"976","Hnf4a"
"977","Ube2c"
"978","Ube2d1"
"979","Thap1"
"980","Angel2"
"981","Adamts9"
"982","Gigyf2"
"983","Dtl"
"984","Ago4"
"985","Cdca8"
"986","Scgb3a1"
"987","Ybey"
"988","Spopl"
"989","Klk5"
"990","Rhbdd1"
"991","Dlgap5"
"992","Psmb1"
"993","Rnf208"
"994","Cyfip2"
"995","Abl1"
"996","Klhl42"
"997","Cyld"
"998","Klhl7"
"999","Jade2"
"1000","Plk5"
"1001","Rnf166"
"1002","Ccp110"
"1003","Fignl1"
"1004","Mnd1"
"1005","Arl8a"
"1006","Trim37"
"1007","Appl2"
"1008","Anln"
"1009","Piwil4"
"1010","Cgrrf1"
"1011","H2afy2"
"1012","Ace"
"1013","Chmp5"
"1014","Acr"
"1015","Sept11"
"1016","Capn12"
"1017","Ube2ql1"
"1018","Trp53inp1"
"1019","Dixdc1"
"1020","Ubr3"
"1021","Rb1"
"1022","Rbbp4"
"1023","Rbbp6"
"1024","Rbl1"
"1025","Rbl2"
"1026","Wee1"
"1027","Brinp2"
"1028","Ppp2r2d"
"1029","Actn3"
"1030","Ticrr"
"1031","Acvr1"
"1032","Rce1"
"1033","Chmp6"
"1034","Adam10"
"1035","Adam11"
"1036","Adam12"
"1037","Adam15"
"1038","Adam17"
"1039","Adam19"
"1040","Iqgap3"
"1041","Adam2"
"1042","Adam22"
"1043","Adam5"
"1044","Adam7"
"1045","Adam8"
"1046","Adam9"
"1047","Adamts1"
"1048","Ctdsp2"
"1049","Ren1"
"1050","Ren2"
"1051","Kdm8"
"1052","Upf1"
"1053","Pgc"
"1054","F11"
"1055","Ret"
"1056","Rnf122"
"1057","Trim27"
"1058","Ints7"
"1059","Acvr1b"
"1060","Xrcc6bp1"
"1061","Prss58"
"1062","Cfd"
"1063","Rgs2"
"1064","Prss35"
"1065","Tmprss7"
"1066","Kbtbd2"
"1067","Wnt1"
"1068","Ralbp1"
"1069","Klhl2"
"1070","Mis18bp1"
"1071","Trim68"
"1072","Btbd2"
"1073","Numa1"
"1074","Cela1"
"1075","Chmp2b"
"1076","Cdc23"
"1077","Zfp91"
"1078","Ube2d3"
"1079","Chmp2a"
"1080","Ccar2"
"1081","Asb14"
"1082","Prpf19"
"1083","Ctc1"
"1084","Ahr"
"1085","Miip"
"1086","Zc3hc1"
"1087","Rlim"
"1088","Rnf2"
"1089","Rnf4"
"1090","Rnf7"
"1091","Thoc1"
"1092","Ing4"
"1093","Ak1"
"1094","Os9"
"1095","Pik3r4"
"1096","Lemd2"
"1097","Akt1"
"1098","Larp7"
"1099","Anapc10"
"1100","Dot1l"
"1101","Pkhd1"
"1102","Anapc13"
"1103","Kifc1"
"1104","Btbd9"
"1105","Rny1"
"1106","Rny3"
"1107","Wrn"
"1108","Mitd1"
"1109","Rock2"
"1110","Alox8"
"1111","Nupr1l"
